id,en,zh,pos,stage,difficulty
20297,beyond,"超越",prep./adv.,"高中",B2
20298,bicycle,"自行车",n.,"高中",B1
20299,bid,"出价；投标",v./n.,"高中",B2
20300,big,"大的",a.,"高中",A1
20301,"bike = bicycle","自行车",n.,"高中",B2
20302,billion,"十亿",num.,"高中",B1
20303,bind,"捆绑；约束",v.,"高中",B2
20304,biography,"传记",n.,"高中",B2
20305,biology,"生物（学）",n.,"高中",B1
20306,bird,"鸟",n.,"高中",A2
20307,birth,"出生；诞生",n.,"高中",A2
20308,birthday,"生日",n.,"高中",B2
20309,bit,"一点，一些，少量的",n.,"高中",A1
20310,bitter,"苦的；痛苦的",adj.,"高中",B2
20311,black,"黑色 a. 黑色的",n.,"高中",A2
20312,blackboard,"黑板",n.,"高中",B2
20313,blade,"刀刃",n.,"高中",B2
20314,blame,"责备",v./n.,"高中",B2
20315,blank,"n.& a. 空格，空白（处）；空的；茫然无表情的","","高中",A2
20316,blanket,"毯子",n.,"高中",B2
20317,blast,"爆炸；一阵",n./v.,"高中",B2
20318,bleed,"流血",v.,"高中",B2
20319,blend,"混合",v./n.,"高中",B2
20320,bless,"祝福",v.,"高中",B2
20321,blind,"瞎的",a.,"高中",A2
20322,block,"街区；块；阻塞",n./v.,"高中",B2
20323,bloom,"开花",v./n.,"高中",B2
20324,blossom,"花；开花",n./v.,"高中",B2
20325,blouse,"宽罩衫；（妇女、儿童穿的）短上衣",n.,"高中",B1
20326,blow,"吹；打击",v./n.,"高中",B2
20327,"blow (blew, blown)","吹；刮风；吹气 n. 击；打击",v.,"高中",B2
20328,blue,"蓝色 a. 蓝色的 a. 悲伤的；沮丧的",n.,"高中",A2
20329,board,"木板；布告牌;（政府的）部 v. 上（船、火车、飞机）",n.,"高中",A2
20330,boast,"吹嘘",v./n.,"高中",B2
20331,boat,"小船，小舟",n.,"高中",A2
20332,boating,"划船（游玩），泛舟",n.,"高中",B1
20333,bold,"大胆的；粗体的",adj.,"高中",B2
20334,bomb,"炸弹",n.,"高中",B2
20335,bond,"纽带；债券",n.,"高中",B2
20336,bonus,"奖金",n.,"高中",B2
20337,book,"书；本子 v. 预定，定（房间、车票等）",n.,"高中",A2
20338,bookmark,"书签",n.,"高中",B2
20339,bookstore,"书店",n.,"高中",B2
20340,boom,"/ v. 繁荣，轰鸣，激增",n.,"高中",A2
20341,boost,"促进；提高",v./n.,"高中",B2
20342,boot,"长筒靴；靴",n.,"高中",A2
20343,border,"边界",n.,"高中",B2
20344,born,"出生的",a.,"高中",A2
20345,both,"两；双 pron. 两者；双方",a.,"高中",A2
20346,bother,"打扰",v.,"高中",B2
20347,bottle,"瓶子",n.,"高中",B1
20348,bottom,"底部；底",n.,"高中",B1
20349,bounce,"弹跳",v./n.,"高中",B2
20350,bound,"一定会；跳跃",adj./v.,"高中",B2
20351,boundary,"界限",n.,"高中",B2
20352,bow,"鞠躬；弓",v./n.,"高中",B2
20353,bowl,"碗",n.,"高中",A2
20354,box,"盒子，箱子",n.,"高中",A1
20355,boy,"男孩",n.,"高中",A1
20356,brain,"脑（子）",n.,"高中",A2
20357,brand,"品牌",n.,"高中",B2
20358,bravery,"勇敢",n.,"高中",B2
20359,bread,"面包",n.,"高中",A2
20360,"break (broke, broken)","间隙,中断,暂停 v. 打破（断，碎）",n.,"高中",B2
20361,breakfast,"早餐",n.,"高中",B2
20362,breakthrough,"突破",n.,"高中",B2
20363,breast,"胸部",n.,"高中",B2
20364,breathe,"呼吸",vi.,"高中",B1
20365,breed,"繁殖；品种",v./n.,"高中",B2
20366,breeze,"微风",n.,"高中",B2
20367,bridge,"桥",n.,"高中",B1
20368,brief,"简短的",adj.,"高中",B2
20369,briefly,"简短地",adv.,"高中",B2
20370,bright,"明亮的；聪明的",a.,"高中",B1
20371,brilliant,"杰出的；明亮的",adj.,"高中",B2
20372,"bring (brought, brought)","拿来，带来，取来",vt.,"高中",B2
20373,Britain,"英国；不列颠",n.,"高中",B1
20374,British,"英国的；大不列颠的；英国人的",a.,"高中",B1
20375,broadcast,"/v. 广播",n.,"高中",B2
20376,brochure,"小册子",n.,"高中",B2
20377,broken,"弄坏了的",a.,"高中",B1
20378,broom,"扫帚",n.,"高中",A2
20379,brother,"兄；弟",n.,"高中",B1
20380,brotherhood,"兄弟般的关系",n.,"高中",B2
20381,brown,"褐色，棕色 a. 褐色的，棕色的",n.,"高中",A2
20382,browse,"浏览",v.,"高中",B2
20383,brush,"刷；擦 n. 刷子",v.,"高中",A2
20384,budget,"预算",n./v.,"高中",B2
20385,buffet,"自助餐",n.,"高中",B2
20386,"build (built, built)","建筑；造",v.,"高中",B2
20387,building,"建筑物；房屋；大楼",n.,"高中",B2
20388,bulb,"灯泡",n.,"高中",B2
20389,bulk,"大量",n.,"高中",B2
20390,bullet,"子弹",n.,"高中",B2
20391,bunch,"束；群",n.,"高中",B2
20392,burden,"负担",n./v.,"高中",B2
20393,bureau,"局；办事处",n.,"高中",B2
20394,"burn (-ed, -ed / burnt, burnt)","燃烧,着火;使烧焦;使晒黑 n. 烧伤;晒伤",v.,"高中",B2
20395,burst,"爆发；破裂",v./n.,"高中",B2
20396,bury,"埋；葬",vt.,"高中",A2
20397,bus,"公共汽车",n.,"高中",A1
20398,"businessman (pl. businessmen)","商人（男）；男企业家",n.,"高中",B2
20399,busy,"忙（碌）的",a.,"高中",A2
20400,but,"但是，可是 prep. 除了, 除……外",conj.,"高中",A1
20401,butcher,"屠夫",n.,"高中",B2
20402,butter,"黄油，奶油",n.,"高中",B1
20403,butterfly,"蝴蝶",n.,"高中",B2
20404,button,"纽扣；（电铃等的）按钮 v. 扣（纽扣） ",n.,"高中",B1
20405,"buy (bought,bought)","买",vt.,"高中",B2
20406,by,"在…旁；不迟于；被；用；乘（车）",prep.,"高中",A1
20407,bye,"再见",int.,"高中",A1
20408,cabbage,"卷心菜，洋白菜",n.,"高中",B1
20409,cabinet,"橱柜；内阁",n.,"高中",B2
20410,cable,"电缆",n.,"高中",B2
20411,cafeteria,"自助餐厅",n.,"高中",B2
20412,"café","咖啡馆;餐馆",n.,"高中",A2
20413,cage,"n 笼；鸟笼","","高中",A2
20414,cake,"蛋糕，糕点；饼",n.,"高中",A2
20415,calculate,"计算",v.,"高中",B2
20416,calendar,"日历",n.,"高中",B2
20417,call,"喊，叫；电话，通话 v. 称呼；呼唤；喊，叫",n.,"高中",A2
20418,calorie,"卡路里",n.,"高中",B2
20419,camel,"骆驼",n.,"高中",A2
20420,camera,"照相机；摄像机",n.,"高中",B1
20421,camp,"n.（夏令）营 vi. 野营,宿营","","高中",A2
20422,campaign,"运动；战役",n./v.,"高中",B2
20423,campus,"校园",n.,"高中",B2
20424,"can (could)","可能；能够；可以 n.（美）罐头；罐子",v.,"高中",B2
20425,Canada,"加拿大",n.,"高中",B1
20426,Canadian,"加拿大的；加拿大人的 n. 加拿大人",a.,"高中",B2
20427,canal,"运河",n.,"高中",B2
20428,cancer,"癌,癌症,弊端,社会恶习",n.,"高中",B1
20429,candidate,"候选人",n.,"高中",B2
20430,candle,"蜡烛",n.,"高中",B1
20431,candy,"糖果",n.,"高中",A2
20432,cannon,"大炮",n.,"高中",B1
20433,canoe,"独木舟 v. 乘独木舟",n.,"高中",A2
20434,cap,"帽子；（瓶子的）盖",n.,"高中",A1
20435,capable,"有能力的",adj.,"高中",B2
20436,capacity,"容量；能力",n.,"高中",B2
20437,capital,"首都；资本",n.,"高中",B2
20438,capsule,"胶囊",n.,"高中",B2
20439,capture,"捕获",v./n.,"高中",B2
20440,car,"汽车，小卧车",n.,"高中",A1
20441,carbon,"碳",n.,"高中",B2
20442,care,"照料，保护；小心 v. 介意…，在乎；关心",n.,"高中",A2
20443,career,"职业",n.,"高中",B2
20444,careful,"小心，仔细，谨慎的",a.,"高中",B1
20445,careless,"粗心的，漫不经心的",a.,"高中",B2
20446,cargo,"货物",n.,"高中",B2
20447,carpenter,"木匠",n.,"高中",B2
20448,carriage,"马车",n.,"高中",B2
20449,carrot,"胡萝卜",n.,"高中",B1
20450,carry,"拿，搬，带，提，抬，背，抱，运等",vt.,"高中",A2
20451,carve,"雕刻",v.,"高中",B2
20452,cash,"现金",n.,"高中",B2
20453,cast,"投掷；演员表",v./n.,"高中",B2
20454,casual,"随便的",adj.,"高中",B2
20455,cat,"猫",n.,"高中",A1
20456,catalog,"目录",n.,"高中",B2
20457,category,"类别",n.,"高中",B2
20458,cater,"提供饮食；迎合",v.,"高中",B2
20459,Catholic,"天主教的",adj./n.,"高中",B2
20460,cause,"原因，起因 vt. 促使，引起，使发生",n.,"高中",A2
20461,caution,"谨慎",n.,"高中",B2
20462,cautious,"谨慎的",adj.,"高中",B2
20463,CD,"光盘 (compact disk的缩写)","","高中",A1
20464,cease,"停止",v.,"高中",B2
20465,ceiling,"天花板，顶棚",n.,"高中",B1
20466,celebrate,"庆祝",v.,"高中",B2
20467,celebration,"庆祝；庆祝会",n.,"高中",B2
20468,celebrity,"名人",n.,"高中",B2
20469,cell,"细胞；牢房",n.,"高中",B2
20470,cent,"美分（100 cents = 1 dollar）",n.,"高中",A2
20471,centigrade,"摄氏",adj.,"高中",B2
20472,"centre (美 center )","中心，中央",n.,"高中",B2
20473,century,"世纪，百年",n.,"高中",B1
20474,certain,"（未指明真实名称的）某…；确定的，无疑的；一定会…",a.,"高中",B1
20475,certainly,"当然；一定，无疑",ad.,"高中",B2
20476,chair,"椅子",n.,"高中",A2
20477,chalk,"粉笔",n.,"高中",A2
20478,chamber,"室；会议厅",n.,"高中",B2
20479,champion,"冠军",n.,"高中",B2
20480,championship,"锦标赛",n.,"高中",B2
20481,chance,"机会，可能性",n.,"高中",B1
20482,change,"零钱；找头 v. 改变，变化；更换；兑换",n.,"高中",B1
20483,chaos,"混乱",n.,"高中",B2
20484,characteristic,"特征；特有的",n./adj.,"高中",B2
20485,charity,"慈善",n.,"高中",B2
20486,charm,"魅力",n.,"高中",B2
20487,chart,"图表；航海图",n.,"高中",A2
20488,charter,"宪章",n.,"高中",B2
20489,cheap,"便宜的，贱",a.,"高中",A2
20490,check,"检查；批改 vt. 校对，核对；检查；批改",n.,"高中",A2
20491,check-out,"结账台,收银台",n.,"高中",B2
20492,cheek,"面颊",n.,"高中",B2
20493,cheese,"奶酪",n.,"高中",B1
20494,chemical,"化学的",adj./n.,"高中",B2
20495,chemist,"化学家；药剂师",n.,"高中",B2
20496,chemistry,"化学",n.,"高中",B2
20497,cheque,"(美check) n. 支票","","高中",B1
20498,chess,"国际象棋,棋",n.,"高中",A2
20499,chest,"胸部；箱子",n.,"高中",B2
20500,chew,"咀嚼",v.,"高中",B2
20501,chick,"小鸡",n.,"高中",A2
20502,chicken,"鸡；鸡肉",n.,"高中",B1
20503,chief,"主要的；首领",adj./n.,"高中",B2
20504,"child (复children)","孩子，儿童",n.,"高中",B2
20505,chimney,"烟囱，烟筒",n.,"高中",B1
20506,China,"中国",n.,"高中",A2
20507,Chinese,"中国的；中国人的；汉语的 n. 中国人；汉语，",a.,"高中",B1
20508,chip,"芯片；碎片",n.,"高中",B2
20509,chocolate,"巧克力",n.,"高中",B2
20510,choir,"合唱团",n.,"高中",B2
20511,choke,"窒息",v.,"高中",B2
20512,"choose (chose, chosen)","选择",vt.,"高中",B2
20513,chorus,"合唱",n.,"高中",B2
20514,Christmas,"圣诞节",n.,"高中",B2
20515,chronic,"慢性的",adj.,"高中",B2
20516,church,"教堂；教会",n.,"高中",B1
20517,cinema,"电影院；电影",n.,"高中",B1
20518,circle,"/vt. 圆,环绕",n.,"高中",B1
20519,circuit,"电路",n.,"高中",B2
20520,circulate,"循环；流通",v.,"高中",B2
20521,circumstance,"环境；情况",n.,"高中",B2
20522,citizen,"公民",n.,"高中",B2
20523,city,"市，城市，都市",n.,"高中",A2
20524,civil,"公民的；文明的",adj.,"高中",B2
20525,civilisation,"文明",n.,"高中",B2
20526,clarify,"澄清",v.,"高中",B2
20527,clash,"冲突",v./n.,"高中",B2
20528,classic,"经典的",adj./n.,"高中",B2
20529,classify,"分类",v.,"高中",B2
20530,classmate,"同班同学",n.,"高中",B2
20531,classroom,"教室",n.,"高中",B2
20532,clause,"从句；条款",n.,"高中",B2
20533,clean,"弄干净，擦干净 a. 清洁的，干净的",vt.,"高中",A2
20534,clear,"清晰；明亮的；清楚的",a.,"高中",A2
20535,clearly,"清楚地，无疑地",ad.,"高中",B1
20536,clerk,"职员",n.,"高中",B2
20537,clever,"聪明的，伶俐的",a.,"高中",B1
20538,client,"客户",n.,"高中",B2
20539,climb,"爬，攀登",v.,"高中",A2
20540,clinical,"临床的",adj.,"高中",B2
20541,clock,"钟",n.,"高中",A2
20542,clone,"克隆",n./v.,"高中",B2
20543,close,"亲密的；近，靠近 ad. 近，靠近 vt. 关，关闭",a.,"高中",A2
20544,cloth,"布",n.,"高中",A2
20545,clothes,"衣服；各种衣物",n.,"高中",B1
20546,cloud,"云；云状物；阴影",n.,"高中",A2
20547,cloudy,"多云的，阴天的",a.,"高中",B1
20548,club,"俱乐部；纸牌中的梅花",n.,"高中",A2
20549,clue,"线索",n.,"高中",B2
20550,coach,"教练；长途汽车",n.,"高中",B2
20551,coal,"煤；煤块",n.,"高中",A2
20552,coastal,"沿海的",adj.,"高中",B2
20553,coat,"外套；涂层；表皮；皮毛",n.,"高中",A2
20554,cock,"公鸡",n.,"高中",A2
20555,cocoa,"可可粉",n.,"高中",A2
20556,code,"密码,符号,准则",n.,"高中",A2
20557,coffee,"咖啡",n.,"高中",B1
20558,cognitive,"认知的",adj.,"高中",B2
20559,coin,"硬币",n.,"高中",A2
20560,coincidence,"巧合",n.,"高中",B2
20561,coke,"可口可乐",n.,"高中",A2
20562,cold,"冷的，寒的 n. 寒冷；感冒，伤风",a.,"高中",A2
20563,collapse,"倒塌",v./n.,"高中",B2
20564,colleague,"同事",n.,"高中",B2
20565,collect,"收集，搜集",vt.,"高中",B1
20566,collection,"收集",n.,"高中",B2
20567,college,"学院；专科学校",n.,"高中",B1
20568,colony,"殖民地",n.,"高中",B2
20569,"colour (美color)","颜色 vt. 给…着色，涂色",n.,"高中",B2
20570,column,"列；专栏",n.,"高中",B2
20571,combat,"战斗",n./v.,"高中",B2
20572,combination,"组合",n.,"高中",B2
20573,"come (came, come)","来，来到",vi.,"高中",B2
20574,comedy,"喜剧",n.,"高中",B2
20575,comfort,"安慰；慰问",n.,"高中",B1
20576,comfortable,"舒服的；安逸的；舒服自在的",a.,"高中",B2
20577,command,"命令；掌握",v./n.,"高中",B2
20578,comment,"评论",n./v.,"高中",B2
20579,commerce,"商业",n.,"高中",B2
20580,commercial,"商业的；广告",adj./n.,"高中",B2
20581,commission,"委员会；佣金",n.,"高中",B2
20582,commit,"犯（罪）；承诺",v.,"高中",B2
20583,commitment,"承诺；投入",n.,"高中",B2
20584,commodity,"商品",n.,"高中",B2
20585,common,"普通，一般；共有的",a.,"高中",B1
20586,communist,"共产主义者",n./adj.,"高中",B2
20587,companion,"同伴",n.,"高中",B2
20588,company,"公司",n.,"高中",B1
20589,comparable,"可比较的",adj.,"高中",B2
20590,compatible,"兼容的",adj.,"高中",B2
20591,compensate,"补偿",v.,"高中",B2
20592,competence,"能力",n.,"高中",B2
20593,competent,"有能力的",adj.,"高中",B2
20594,competition,"比赛，竞赛",n.,"高中",B2
20595,competitive,"竞争的",adj.,"高中",B2
20596,complain,"抱怨,投诉",v.,"高中",B2
20597,complex,"复杂的",adj.,"高中",B2
20598,component,"组成部分",n.,"高中",B2
20599,composer,"作曲家",n.,"高中",B2
20600,composition,"作文；作曲",n.,"高中",B2
20601,comprehension,"理解",n.,"高中",B2
20602,comprehensive,"全面的",adj.,"高中",B2
20603,comprise,"包含；由……组成",v.,"高中",B2
20604,compromise,"妥协",v./n.,"高中",B2
20605,compulsory,"强制的",adj.,"高中",B2
20606,computer,"电子计算机",n.,"高中",B2
20607,comrade,"同志",n.,"高中",B1
20608,concentrate,"集中",v.,"高中",B2
20609,concept,"概念",n.,"高中",B2
20610,concern,"关心；涉及",v./n.,"高中",B2
20611,concerning,"关于",prep.,"高中",B2
20612,concert,"音乐会；演奏会",n.,"高中",B1
20613,conclude,"得出结论",v.,"高中",B2
20614,conclusion,"结论",n.,"高中",B2
20615,concrete,"具体的；混凝土",adj./n.,"高中",B2
20616,condemn,"谴责",v.,"高中",B2
20617,conduct,"进行；行为",v./n.,"高中",B2
20618,conductor,"指导者;（车上的）售票员，列车员;乐队指挥",n.,"高中",B2
20619,conference,"会议",n.,"高中",B2
20620,confess,"承认；坦白",v.,"高中",B2
20621,confidence,"信心",n.,"高中",B2
20622,confident,"自信的",a.,"高中",B2
20623,confine,"限制",v.,"高中",B2
20624,confirm,"确认",v.,"高中",B2
20625,conflict,"冲突",n./v.,"高中",B2
20626,confront,"面对",v.,"高中",B2
20627,congratulate,"祝贺",vt.,"高中",B2
20628,congratulation,"祝贺，庆贺",n.,"高中",B2
20629,congress,"国会",n.,"高中",B2
20630,conjunction,"连词",n.,"高中",B2
20631,connect,"连接，把…联系起来",v.,"高中",B1
20632,conscience,"良心",n.,"高中",B2
20633,conscious,"有意识的",adj.,"高中",B2
20634,consequence,"后果",n.,"高中",B2
20635,conservation,"保护",n.,"高中",B2
20636,conservative,"保守的",adj.,"高中",B2
20637,considerable,"相当大的",adj.,"高中",B2
20638,considerate,"体贴的",adj.,"高中",B2
20639,consist,"由……组成",v.,"高中",B2
20640,consistent,"一致的",adj.,"高中",B2
20641,constant,"持续的",adj.,"高中",B2
20642,constitute,"构成",v.,"高中",B2
20643,constitution,"宪法",n.,"高中",B2
20644,construct,"建造",v.,"高中",B2
20645,construction,"建筑",n.,"高中",B2
20646,consult,"咨询",v.,"高中",B2
20647,consultant,"顾问",n.,"高中",B2
20648,consume,"消费",v.,"高中",B2
20649,consumer,"消费者",n.,"高中",B2
20650,consumption,"消费",n.,"高中",B2
20651,contact,"联系",n./v.,"高中",B2
20652,contain,"包含",v.,"高中",B2
20653,container,"容器",n.,"高中",B2
20654,contemporary,"当代的",adj.,"高中",B2
20655,content,"内容；满足的",n./adj.,"高中",B2
20656,context,"上下文",n.,"高中",B2
20657,continent,"大陆",n.,"高中",B2
20658,continue,"继续",vi.,"高中",B2
20659,contract,"合同；收缩",n./v.,"高中",B2
20660,contradiction,"矛盾",n.,"高中",B2
20661,contrary,"相反的",adj./n.,"高中",B2
20662,contrast,"对比",n./v.,"高中",B2
20663,contribute,"贡献",v.,"高中",B2
20664,contribution,"贡献",n.,"高中",B2
20665,controversial,"有争议的",adj.,"高中",B2
20666,convenience,"便利",n.,"高中",B2
20667,conventional,"传统的",adj.,"高中",B2
20668,conversation,"谈话，交谈",n.,"高中",B2
20669,convey,"传达",v.,"高中",B2
20670,convince,"说服",v.,"高中",B2
20671,cook,"炊事员,厨师 v. 烹调,做饭",n.,"高中",A2
20672,cookie,"小甜饼",n.,"高中",B1
20673,cool,"凉的，凉爽的；酷",a.,"高中",A2
20674,cooperate,"合作",v.,"高中",B2
20675,coordinate,"协调",v.,"高中",B2
20676,cope,"应对",v.,"高中",B2
20677,copy,"抄本，副本；一本（份，册…） v. 抄写,复印,拷贝",n.,"高中",A2
20678,core,"核心",n.,"高中",B2
20679,corn,"玉米，谷物",n.,"高中",A2
20680,corner,"角；角落；拐角",n.,"高中",B1
20681,corporate,"公司的",adj.,"高中",B2
20682,corporation,"公司",n.,"高中",B2
20683,correct,"改正；纠正 a. 正确的，对的；恰当的",v.,"高中",B1
20684,correspond,"通信；对应",v.,"高中",B2
20685,corrupt,"腐败的",adj.,"高中",B2
20686,"cost (cost, cost)","v.值（钱），花费 n. 价格","","高中",B2
20687,cotton,"棉花 a. 棉花的",n.,"高中",B1
20688,cough,"n.& vi. 咳嗽","","高中",A2
20689,council,"理事会",n.,"高中",B2
20690,counsel,"劝告；律师",n./v.,"高中",B2
20691,count,"数，点数",vt.,"高中",A2
20692,counter,"柜台；反对",n./v.,"高中",B2
20693,country,"国家；农村，乡下",n.,"高中",B1
20694,countryside,"乡下，农村",n.,"高中",B2
20695,county,"县",n.,"高中",B2
20696,couple,"夫妇，一对",n.,"高中",B1
20697,course,"过程；经过；课程",n.,"高中",B1
20698,court,"法庭；球场",n.,"高中",B2
20699,cousin,"堂（表）兄弟，堂（表）姐妹",n.,"高中",B1
20700,cover,"盖子；罩 v. 覆盖，遮盖；掩盖",n.,"高中",A2
20701,cow,"母牛，奶牛",n.,"高中",A1
20702,crack,"裂缝",n./v.,"高中",B2
20703,craft,"工艺；手艺",n.,"高中",B2
20704,crash,"/ n. 碰撞，撞击",v.,"高中",A2
20705,cream,"奶油，乳脂",n.,"高中",A2
20706,creation,"创造",n.,"高中",B2
20707,crew,"全体船员",n.,"高中",B2
20708,crime,"犯罪",n.,"高中",B2
20709,criminal,"罪犯；犯罪的",n./adj.,"高中",B2
20710,crisis,"危机",n.,"高中",B2
20711,criterion,"标准",n.,"高中",B2
20712,critic,"批评家",n.,"高中",B2
20713,critical,"批评的；关键的",adj.,"高中",B2
20714,criticism,"批评",n.,"高中",B2
20715,crop,"庄稼；收成",n.,"高中",A2
20716,cross,"脾气不好的，易怒的 n. 十字形的东西 vt. 越过；穿过",a.,"高中",A2
20717,crossing,"十字路口，人行横道",n.,"高中",B2
20718,crowd,"人群 vt. 拥挤，群聚",n.,"高中",A2
20719,crucial,"关键的",adj.,"高中",B2
20720,crude,"粗糙的；原油",adj./n.,"高中",B2
20721,cruel,"残忍的",adj.,"高中",B2
20722,crush,"压碎",v.,"高中",B2
20723,cry,"叫喊；哭声 v. 喊叫；哭",n.,"高中",A1
20724,crystal,"水晶",n.,"高中",B2
20725,cultivate,"培养；耕作",v.,"高中",B2
20726,cultural,"文化的",adj.,"高中",B2
20727,culture,"文化",n.,"高中",B1
20728,cup,"茶杯",n.,"高中",A1
20729,cupboard,"碗柜；橱柜",n.,"高中",B2
20730,curiosity,"好奇心",n.,"高中",B2
20731,currency,"货币",n.,"高中",B2
20732,current,"当前的",adj.,"高中",B2
20733,curriculum,"课程",n.,"高中",B2
20734,curtain,"窗帘",n.,"高中",B1
20735,cushion,"垫子",n.,"高中",B1
20736,customs,"海关",n.,"高中",B2
20737,"cut (cut, cut)","切，剪，削，割",v.,"高中",B2
20738,cute,"可爱的",adj.,"高中",B2
20739,cycle,"循环",n./v.,"高中",B2
20740,daily,"每日的；日常的 ad. 每天 n. 日报",a.,"高中",A2
20741,dairy,"乳制品",n.,"高中",B2
20742,dam,"水坝",n.,"高中",B2
20743,damp,"潮湿的",adj.,"高中",B2
20744,dance,"n.& vi. 跳舞","","高中",A2
20745,dangerous,"危险的",a.,"高中",B2
20746,dare,"v.& aux. 敢，敢于","","高中",A2
20747,dark,"黑暗；暗处；日暮 a. 黑暗的；暗淡的；深色的",n.,"高中",A2
20748,database,"数据库",n.,"高中",B2
20749,date,"日期；约会 n.枣",n.,"高中",A2
20750,daughter,"女儿",n.,"高中",B2
20751,dawn,"黎明",n.,"高中",B2
20752,daytime,"白天，白昼",n.,"高中",B1
20753,dead,"死的；无生命的",a.,"高中",A2
20754,deadline,"截止日期",n.,"高中",B2
20755,deadly,"致命的",adj.,"高中",B2
20756,deaf,"聋的",a.,"高中",A2
20757,deal,"量，数额；交易",n.,"高中",A2
20758,dealer,"经销商",n.,"高中",B2
20759,dear,"int.（表示惊愕）哎呀！唷！a. 亲爱的；贵的","","高中",A2
20760,death,"死",n.,"高中",A2
20761,debate,"辩论",n./v.,"高中",B2
20762,debt,"债务",n.,"高中",B2
20763,decade,"十年",n.,"高中",B2
20764,decay,"腐烂",v./n.,"高中",B2
20765,deceive,"欺骗",v.,"高中",B2
20766,December,"12月",n.,"高中",B2
20767,decide,"决定；下决心",v.,"高中",B1
20768,decision,"决定；决心",n.,"高中",B2
20769,declaration,"宣言",n.,"高中",B2
20770,decline,"下降；拒绝",v./n.,"高中",B2
20771,decorate,"装饰，修饰",vt.,"高中",B2
20772,decoration,"装饰",n.,"高中",B2
20773,decrease,"减少",v./n.,"高中",B2
20774,dedicate,"奉献",v.,"高中",B2
20775,deed,"行为",n.,"高中",B2
20776,deep,"深 ad. 深；深厚",a.,"高中",A2
20777,deeply,"深深地",ad.,"高中",B1
20778,deer,"鹿",n.,"高中",A2
20779,defeat,"击败",v./n.,"高中",B2
20780,defect,"缺陷",n.,"高中",B2
20781,defence,"防御",n.,"高中",B2
20782,defend,"辩护；防御",v.,"高中",B2
20783,define,"定义",v.,"高中",B2
20784,definite,"明确的",adj.,"高中",B2
20785,definition,"定义",n.,"高中",B2
20786,delegate,"代表",n./v.,"高中",B2
20787,delete,"删除",v.,"高中",B2
20788,deliberate,"故意的",adj.,"高中",B2
20789,delicate,"精致的；微妙的",adj.,"高中",B2
20790,delicious,"美味的，可口的",a.,"高中",B2
20791,delight,"快乐；乐事",n.,"高中",B1
20792,deliver,"递送；发表",v.,"高中",B2
20793,demand,"要求",vt.,"高中",B1
20794,democracy,"民主",n.,"高中",B2
20795,democratic,"民主的",adj.,"高中",B2
20796,demonstrate,"展示；示威",v.,"高中",B2
20797,dense,"密集的",adj.,"高中",B2
20798,density,"密度",n.,"高中",B2
20799,dental,"牙齿的",adj.,"高中",B2
20800,dentist,"牙医",n.,"高中",B2
20801,deny,"否认",v.,"高中",B2
20802,depart,"离开",v.,"高中",B2
20803,department,"部门",n.,"高中",B2
20804,departure,"离开",n.,"高中",B2
20805,depend,"依靠，依赖，指望；取决于",vi.,"高中",B1
20806,depict,"描绘",v.,"高中",B2
20807,deploy,"部署",v.,"高中",B2
20808,deposit,"存款；押金",n./v.,"高中",B2
20809,depress,"使沮丧",v.,"高中",B2
20810,depression,"抑郁；萧条",n.,"高中",B2
20811,derive,"源自；获得",v.,"高中",B2
20812,describe,"描写，叙述",vt.,"高中",B2
20813,description,"描述，描写",n.,"高中",B2
20814,desert,"沙漠 vt. 舍弃；遗弃",n.,"高中",B1
20815,deserve,"值得",v.,"高中",B2
20816,desk,"书桌，写字台",n.,"高中",A2
20817,desperate,"绝望的",adj.,"高中",B2
20818,despite,"尽管",prep.,"高中",B2
20819,destination,"目的地",n.,"高中",B2
20820,destroy,"破坏，毁坏",vt.,"高中",B1
20821,detect,"探测",v.,"高中",B2
20822,detective,"侦探",n.,"高中",B2
20823,determination,"决心",n.,"高中",B2
20824,develop,"v.（使）发展；开发 vt. 冲洗（照片）","","高中",B1
20825,device,"设备",n.,"高中",B2
20826,devote,"奉献",v.,"高中",B2
20827,diagram,"图表，图样",n.,"高中",B1
20828,dial,"拨（电话号码）",vt.,"高中",A2
20829,dialect,"方言",n.,"高中",B2
20830,dialogue,"对话",n.,"高中",B2
20831,diamond,"钻石",n.,"高中",B2
20832,diary,"日记；日记簿",n.,"高中",A2
20833,dictate,"听写",v.,"高中",B2
20834,dictation,"听写",n.,"高中",B2
20835,dictionary,"词典，字典",n.,"高中",B2
20836,die,"死",v.,"高中",A1
20837,diet,"饮食",n.,"高中",B2
20838,differ,"不同",v.,"高中",B2
20839,difference,"不同",n.,"高中",B2
20840,different,"不同的，有差异的",a.,"高中",B2
20841,difficult,"难；艰难；不易相处的",a.,"高中",B2
20842,difficulty,"困难，费力",n.,"高中",B2
20843,"dig (dug, dug)","挖（洞沟）,掘",v.,"高中",B2
20844,digest,"消化",v.,"高中",B2
20845,digital,".数字的，数码的",a.,"高中",B1
20846,dignity,"尊严",n.,"高中",B2
20847,dilemma,"困境",n.,"高中",B2
20848,dim,"昏暗的,暗淡的",a.,"高中",A1
20849,dimension,"维度",n.,"高中",B2
20850,diminish,"减少",v.,"高中",B2
20851,dinner,"正餐，宴会",n.,"高中",B1
20852,dip,"浸，蘸；把…放入又取出",vt.,"高中",A1
20853,diploma,"文凭",n.,"高中",B2
