head_word,is_primary,is_middle,is_high,is_zhongkao,is_gaokao,is_cet4,is_cet6,is_kaoyan,is_ielts,is_toefl,is_gre,is_gmat,is_sat,is_bec,is_level4,is_level8,is_phonetic_filled,phonetic_source
acquisitive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acquit,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,origin
acquittal,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,origin
acre,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,origin
acreage,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,origin
acrid,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,origin
acrimonious,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
acrimony,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,origin
acrobat,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,origin
acrobatic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,origin
acrobatics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
acronym,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,origin
acrophobia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
across,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,origin
across from,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
act,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,origin
acting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,origin
actinia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,origin
action,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,origin
action movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
activate,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,origin
active,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,origin
actively,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,origin
